"Standard
Class ID"	"Standard
Instance ID"	"Standard
Member ID"	Parameter ID	Instance	"Class
Name"	Base or Module #	"Parameter Name
Member Name"	Description	"Selectable Range or
Enumerations via Comms ( )"	Default from Factory	Data Type	"Read
Write
EEPROM
User Set Save"	Relative Address	Absolute Address	Offset to next inst.	"Modbus
Registers
Range"	Max Instance														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 12 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	188	" 400,189 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 13 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	190	" 400,191 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 14 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	192	" 400,193 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 15 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	194	" 400,195 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 16 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	196	" 400,197 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 17 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	198	" 400,199 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 18 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	200	" 400,201 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 19 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	202	" 400,203 "	120	0 to 838	7														
1	2	11	1011	2	DEV	1	Diagnostic - Device Name (Character 20 for Modbus protocol)	Program the name to assign the card.	Any Unicode character (0 to 65535)	no default	Short String	RWES	204	" 400,205 "	120	0 to 838	7														
1	2	13	1013	2	DEV	1	User Settings Restore	Program to restore factory settings.	"None (61), Factory (31)"	no default	Enumeration	W	206	" 400,207 "	120	0 to 838	7														
1	2	16	1016	2	DEV	1	Device Status	Monitor the base for failure.	"OK (138), Fail (32)"	no default	Enumeration	R	210	" 400,211 "	120	0 to 838	7														
1	2	34	1034	2	DEV	1	Line Frequency	Program the frequency used for variable time base control.	"50 Hz (3), 60 Hz (4)"	60 Hz (4)	Enumeration	R	214	" 400,215 "	120	0 to 838	7														
